c1,c2,L1,L2,L3,L4,L5,L6,L7,L8,W1,W2,W3,W4,W5,W6,W7,W8
4.500000000000007e-12,5.2768000000000076e-12,7.704399999999999e-07,8.919999999999993e-07,1.391000000000001e-06,1.6725100000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,7.649999999999993e-06,1.7715120000000013e-06,7.119999999999996e-05,3.179000000000001e-05,3.972000000000001e-06,1.0238999999999993e-05,5.119500000000002e-05,9.499999999999995e-05
3.248969269903823e-12,5.804106384750742e-12,5.848391521789719e-07,1.0127377353790483e-06,2.0079642540840873e-06,2.483906145514208e-06,1.2100490473544373e-06,1.3146420115578609e-06,9.59345594758645e-07,6.343637278523591e-07,6.485128132653565e-06,1.0979282575019022e-06,5.968971180686781e-05,3.83872587020326e-05,4.642924184244623e-06,1.4597248914163792e-05,3.9667647313384336e-05,6.842584248135383e-05
6.168295377798203e-12,4.041074319411362e-12,1.003495700281925e-06,1.1702169329329266e-06,8.508641662123481e-07,2.17660707362782e-06,1.2015528325813736e-06,1.3102855291824948e-06,9.186541000369002e-07,8.018860977327297e-07,3.923287765950089e-06,2.5338677389549027e-06,8.848385279604826e-05,4.1508031640456365e-05,3.4612204495453524e-06,1.4962947731509909e-05,7.528765919862434e-05,0.00011864693632204822
3.180236199027417e-12,4.1406304549683426e-12,1.0558749895494232e-06,1.2726008927975363e-06,1.868884957859321e-06,9.265071554587799e-07,1.2673313811177835e-06,1.0893738782337415e-06,1.1329055407909678e-06,6.364800938212754e-07,5.092159973782965e-06,2.4980045236618966e-06,5.699530592786883e-05,2.1955964864163724e-05,2.8062286393310037e-06,5.187160417705254e-06,4.964207569640961e-05,0.0001241298181895984
6.383749085720635e-12,3.976534244227115e-12,1.0961432125683015e-06,1.2600630732237753e-06,1.1768251590925303e-06,1.1548309808820619e-06,1.4743494788856444e-06,1.4147343401174623e-06,1.027178832946563e-06,8.177002033525904e-07,4.286803207995998e-06,2.2129456147157976e-06,9.247358274914676e-05,3.605667183482315e-05,3.299557889542183e-06,9.552276265071506e-06,4.019734458532696e-05,6.617394383046431e-05
4.447850349576737e-12,4.366889439163918e-12,3.8692591790349605e-07,1.1817311626311637e-06,8.357507365519393e-07,1.5929300438173498e-06,8.737145173959698e-07,5.598216367546345e-07,1.4612111401741147e-06,1.179182680871091e-06,5.952892894236437e-06,2.233046750226744e-06,4.171962428828233e-05,4.573159777533754e-05,2.3102326219129304e-06,1.10899902067295e-05,7.363080396865151e-05,0.00012013725176843529
5.002847383061908e-12,3.399126181687964e-12,7.469326211369078e-07,5.30028837102172e-07,1.2288220108993567e-06,2.0119326534005915e-06,5.830544430384446e-07,1.4649966402703315e-06,1.2890101145562448e-06,1.1013411558953888e-06,6.4897397566934325e-06,1.1388621904528095e-06,5.2379251001760285e-05,2.4102745155158454e-05,3.7199192183819333e-06,8.691145511992279e-06,7.508907181108354e-05,0.00010994789496106426
5.696585354161425e-12,3.512305945986853e-12,1.1413827742011752e-06,7.680551892697172e-07,1.4054035230988942e-06,1.3916088505799163e-06,7.39640439612225e-07,1.0709752168558068e-06,9.96695509122594e-07,1.4972254665629227e-06,8.347850682130866e-06,2.324124878674274e-06,6.679762515355864e-05,2.5192953811662107e-05,5.208149882621849e-06,8.9696918313272e-06,6.242717700178246e-05,0.00014016862505489332
4.582880945428238e-12,7.724868615785716e-12,6.925830347189125e-07,4.776740563302145e-07,2.0323943870134965e-06,1.4383304937559634e-06,7.214827600429956e-07,8.025181125003946e-07,7.111410008942375e-07,1.0609145898101516e-06,9.753850444776221e-06,1.2263810798178028e-06,4.4574464742765875e-05,2.9426223142726972e-05,3.7566876558494256e-06,8.7627571182797e-06,3.260502205966757e-05,8.438784921707804e-05
3.5856022570929926e-12,7.705324331219558e-12,1.0121520500320646e-06,9.333516468983995e-07,1.212274047921259e-06,2.3774237362723817e-06,8.635997968041059e-07,1.325705826498351e-06,1.1039841410962847e-06,1.0487261970931809e-06,8.604371673792262e-06,1.159888818493795e-06,5.005587703209253e-05,3.40527677447283e-05,3.7627159316612285e-06,7.485045608896474e-06,7.115587855975161e-05,0.00011939124964106041
