L1,L2,L3,L4,L5,L6,L7,L8,L9,R1,R2,W1,W2,W3,W4,W5,W6,W7,W8,W9
7.640000000000006e-07,4.829999999999998e-06,4.16e-06,3.660000000000002e-06,5.290000000000004e-07,3.06e-06,2.340000000000001e-06,2.3300000000000014e-06,3.06e-06,2559018.000000001,261903.9999999999,9.999999999999997e-06,7.449999999999997e-05,6.369999999999995e-05,1.4599999999999989e-05,1.7500000000000008e-06,2.43e-05,7.929999999999999e-05,2.1000000000000002e-05,2.7899999999999977e-05
8.313319320230373e-07,6.55733131554995e-06,4.687710300900015e-06,3.6646037080009185e-06,2.899752487377341e-07,4.055922138868223e-06,3.5020459996549756e-06,1.3444945191726765e-06,2.783587458403085e-06,2642931.4888643627,235045.04323522717,9.636752334600323e-06,6.991904487516857e-05,8.328342821442107e-05,1.0320525671062204e-05,2.19258833216892e-06,1.2930766870147545e-05,4.9406583993708624e-05,1.3710276284352604e-05,2.4355920884653522e-05
1.0678532881227947e-06,7.002432696132087e-06,4.398991211980696e-06,1.965726747962807e-06,6.324198382554688e-07,2.7093379588861132e-06,1.1924470836331542e-06,3.4703605738223126e-06,2.312127969940419e-06,2081918.2133273957,262831.05629700626,1.1813970221680037e-05,5.332291601897079e-05,7.216789407168292e-05,1.446246560457548e-05,2.558927957848649e-06,3.052245275091921e-05,7.088366719072196e-05,1.8391706386515905e-05,1.771713905581224e-05
1.0631294773186762e-06,5.1279475241938965e-06,3.4052909678519756e-06,4.421704908364338e-06,4.2281482327757003e-07,2.614298644490812e-06,1.7259217268448384e-06,3.0079484785038282e-06,3.4212820403260364e-06,1800325.6238455847,256679.48257853152,1.4327784383437836e-05,7.400671209834689e-05,4.3272903743280564e-05,1.0107870699893361e-05,2.3188579594171155e-06,1.4196600257219773e-05,8.822909160645444e-05,1.3141825953121271e-05,3.260909871019139e-05
1.0052998326630698e-06,3.278509910875386e-06,3.722547798771056e-06,4.100775996794254e-06,3.5212120854543834e-07,2.8399202787208845e-06,2.25090398920923e-06,2.8819475961087257e-06,4.268744212674344e-06,3801031.292062398,316882.563664499,1.357565703177992e-05,0.00010616511197011837,3.42170588117838e-05,9.99016708119249e-06,1.260422267299294e-06,1.643524886460669e-05,6.50813695138681e-05,2.8872550317474266e-05,2.0691299551749256e-05
8.628925968239965e-07,5.153665322412813e-06,4.329067034865565e-06,4.967771142766414e-06,5.468814982085899e-07,3.5672112515691373e-06,3.046062239326139e-06,3.3828323701196247e-06,1.6460338147626738e-06,1969063.4655167223,331559.8590233741,1.0776970839731762e-05,6.477651767697902e-05,7.526684710711497e-05,1.630715829907213e-05,1.4356149220082048e-06,2.9794415439266656e-05,5.739180251926316e-05,2.8559633636641676e-05,1.4729432423175659e-05
4.134044340155782e-07,4.093064717840689e-06,3.2267209754296794e-06,5.488786621217332e-06,3.840268824628687e-07,2.3852180805407962e-06,2.0018082758173234e-06,1.3542473588122266e-06,3.2162502210461986e-06,1458788.8793033478,291388.6140916372,5.685246539615924e-06,0.0001016458574022284,9.285713879025545e-05,1.2860250240157674e-05,1.933231869444385e-06,2.1940177923525604e-05,0.00010391967000681874,1.2583200009455473e-05,4.087463806958234e-05
6.713122396921315e-07,5.463952306671925e-06,2.7523754354461535e-06,3.2200883302112603e-06,7.483434919502273e-07,2.673900856038675e-06,3.3133159754048522e-06,1.4108202413637815e-06,3.5150846754218906e-06,1675143.6441886036,161587.81210037175,5.666108795857506e-06,6.695665315865416e-05,7.841688578592167e-05,1.4543295819866447e-05,2.590890734273737e-06,3.148873078714248e-05,0.0001057226801769552,3.0045410141474393e-05,2.357361216476511e-05
7.781423623223335e-07,6.469774967673205e-06,4.568236690222482e-06,2.898325465006621e-06,4.147492281317907e-07,2.6670377871288964e-06,2.544625467656275e-06,2.8960391777554433e-06,4.470894903126949e-06,3150149.587981941,348564.1580550447,1.3714084461753888e-05,6.019272927119059e-05,6.107212640816882e-05,2.0683118701390753e-05,1.9929359818777866e-06,2.501878590813399e-05,7.270691798501345e-05,2.8932326288586763e-05,1.520924010441502e-05
8.846749196869324e-07,4.641820284092443e-06,5.5154260813850025e-06,3.869457636702393e-06,3.2142424310072097e-07,2.8027854515030977e-06,2.209838267746932e-06,2.2721142797840853e-06,4.174969896710958e-06,2969960.5761431456,211156.91451837373,8.608708395532797e-06,4.1344753393471716e-05,5.860373373977712e-05,1.674424427667837e-05,2.4586071849159093e-06,2.9194884899886753e-05,4.347928561808e-05,2.7899407354846583e-05,4.183369830475502e-05
5.301015664625721e-07,4.820050554074286e-06,2.730589549005543e-06,2.138038782212972e-06,3.2639393645309866e-07,2.8291060976714635e-06,2.2021176999350045e-06,2.9349911039549126e-06,3.9251500565619e-06,3164043.2402145765,291576.09442039375,1.1394645006330784e-05,5.3008227596511277e-05,8.530783512648061e-05,9.20477827845894e-06,8.989622863911318e-07,2.8931865851548203e-05,0.00010980240575846387,2.4380870325182698e-05,3.1876510041400415e-05
5.900497311788703e-07,5.696555697782199e-06,5.134690160358937e-06,4.140490909067206e-06,6.641719837629505e-07,3.558182819071478e-06,2.7939398090972465e-06,2.2973639983953423e-06,2.481976160586285e-06,3599743.2156755887,275929.3547949356,1.4073996458550385e-05,0.00010705301157337532,6.266786801806156e-05,1.919453075461488e-05,2.216727819538235e-06,2.3725873542287842e-05,0.00010856038745660043,1.3374605575242192e-05,1.4145910403909516e-05
9.310149332712904e-07,5.558295965215687e-06,3.779956677447903e-06,5.28712798578855e-06,7.082751683856098e-07,2.110714332385948e-06,2.870339878480445e-06,1.807925732935689e-06,2.3620564129243676e-06,3309619.726326906,337107.9260114173,1.0070493821470395e-05,5.5151409093937126e-05,5.748704933490198e-05,1.0407318663067695e-05,8.826968311273573e-07,2.9618442856921897e-05,6.879492286354861e-05,1.905389388412544e-05,3.480189254900758e-05
9.802147576266837e-07,3.713281003135229e-06,5.319341682151457e-06,5.091929377879447e-06,2.8329908710922805e-07,3.7407846724040543e-06,2.889274652475383e-06,2.054555245530891e-06,4.4595844590678745e-06,2290243.6515909014,346936.18097105436,1.3592468041192766e-05,3.8356811819606605e-05,5.607997535147255e-05,7.909073633508704e-06,9.507540832486325e-07,1.8398632531799784e-05,8.99914920573826e-05,3.0259635316702803e-05,2.4645405753994255e-05
1.0316503167880957e-06,2.740178141315457e-06,5.424517561261796e-06,5.045612241934013e-06,3.287437542245953e-07,2.3062025770809467e-06,2.069076039334003e-06,2.7405492585349636e-06,3.1103146008322697e-06,3639322.108878009,345507.04816255934,1.4968030572772668e-05,6.899414144233093e-05,9.213961260970777e-05,1.2404292958189915e-05,8.835212849715236e-07,1.9971342291560065e-05,7.56605790388177e-05,1.713926747935601e-05,1.51819673013225e-05
9.742870990116925e-07,6.141080018271857e-06,5.350057205071702e-06,3.0917909548456034e-06,7.35843261128673e-07,4.475782863884853e-06,3.382226432778761e-06,2.8809775015184723e-06,2.8073221130505563e-06,1384288.8029421333,145745.42686150328,1.4984671442110368e-05,8.354204624690916e-05,7.343747290592814e-05,1.748107536922144e-05,1.2371617467718096e-06,3.1564670010824e-05,9.60955099621393e-05,1.3549898394893655e-05,1.9889823466109986e-05
