L1,L2,L3,L4,L5,L6,L7,L8,L9,R1,R2,W1,W2,W3,W4,W5,W6,W7,W8,W9
7.640000000000006e-07,4.829999999999998e-06,4.16e-06,3.660000000000002e-06,5.290000000000004e-07,3.06e-06,2.340000000000001e-06,2.3300000000000014e-06,3.06e-06,2559018.000000001,261903.9999999999,9.999999999999997e-06,7.449999999999997e-05,6.369999999999995e-05,1.4599999999999989e-05,1.7500000000000008e-06,2.43e-05,7.929999999999999e-05,2.1000000000000002e-05,2.7899999999999977e-05
7.151001052364913e-07,4.855338615287827e-06,6.092532493171299e-06,4.758945565145265e-06,5.727403060318598e-07,3.910704969013914e-06,2.4521042054114807e-06,2.663915625488387e-06,4.211375342214724e-06,2128779.8041163697,262222.5935626549,1.3331612447339764e-05,6.56190474868575e-05,7.273340934315663e-05,1.7434627163207685e-05,9.260113062331453e-07,1.3206799659851537e-05,6.530581122522946e-05,1.564487690669756e-05,2.3061813603960965e-05
4.0180764111650916e-07,2.7303338161886234e-06,4.1600347824680985e-06,4.032650664344008e-06,2.7801644823848734e-07,1.9398998770053733e-06,2.8068782503098847e-06,1.5412170915376076e-06,2.8531106320612344e-06,2511569.1036904226,263498.16604429396,7.057936769500724e-06,5.0534082169440124e-05,3.741605368891e-05,1.8011579052215866e-05,1.5275625470205215e-06,1.8165486277627733e-05,5.642968836489991e-05,2.110630033211997e-05,2.009608783635821e-05
8.417474821519857e-07,6.820050695046303e-06,4.09366286931545e-06,5.3381614837402e-06,5.69579410379611e-07,1.614897551837428e-06,2.898957787169352e-06,3.1720638560368297e-06,1.8315630287745611e-06,3744977.083495998,278515.5325591634,1.2407019109377189e-05,5.393809819194631e-05,9.180332497529189e-05,1.6692595505719744e-05,1.8258076163827592e-06,3.5511781791368885e-05,8.381762050046609e-05,2.1665036230856236e-05,1.5198998241279392e-05
7.279526702231067e-07,6.545132936835417e-06,4.799025301878107e-06,5.048190256826785e-06,2.6626445029871204e-07,4.359852003006754e-06,3.3960273850147522e-06,1.5259997538955113e-06,1.7310746687404851e-06,2091442.8229200265,284311.31454473734,1.024131345044884e-05,6.966663509651533e-05,8.998753461515513e-05,1.562165911909124e-05,2.509739310214993e-06,2.6150550803562478e-05,5.433478939605792e-05,3.112365288662044e-05,4.1808240965469756e-05
7.031610007948415e-07,3.029182663317172e-06,4.439319570931267e-06,2.9024650284591494e-06,5.274520395305571e-07,3.973672101543187e-06,1.4287645658430162e-06,2.893289240598436e-06,3.412678994800687e-06,2340119.7413661117,240384.98364928737,5.4312903635336315e-06,5.658129012811863e-05,4.3035660816891974e-05,1.9743038728324266e-05,2.524236071695001e-06,2.0837693046232125e-05,9.430767366985932e-05,1.693365810339016e-05,1.6630930534939157e-05
6.343758032469604e-07,5.297279842366623e-06,3.858591207311819e-06,3.7480847635993356e-06,4.839851879712095e-07,3.192636405586744e-06,1.811298650934367e-06,2.6865377958284643e-06,4.4481994848899075e-06,3451307.9483313384,278502.4568022348,6.071874042315796e-06,8.883374381815172e-05,7.728858350942705e-05,1.6657704140771403e-05,1.5247245504188179e-06,1.2379644091550958e-05,9.076092681739454e-05,2.679175613565252e-05,1.8474918189265888e-05
5.383515564049112e-07,3.506637962918459e-06,3.896868614191484e-06,3.135244868909295e-06,4.5011123578856796e-07,2.2057640200880716e-06,1.1939850921950423e-06,3.0264032418057885e-06,2.9009250325637163e-06,2417174.0422170153,360527.059587543,9.350836498588276e-06,0.00011029613838540898,8.824129605994822e-05,8.373076416830779e-06,2.150751403187583e-06,1.8311222893565633e-05,6.435428168509867e-05,1.1189932702797404e-05,3.331927141878201e-05
8.551230182919065e-07,2.9315476552172195e-06,5.310486209587936e-06,1.9971850127981625e-06,5.559673119166184e-07,4.34048345856418e-06,2.6427017514212246e-06,1.2378068200780592e-06,2.163572505055141e-06,3111118.6721362956,308414.17999505025,7.208812218607441e-06,5.559589237810033e-05,9.447591359844376e-05,1.640141682871923e-05,1.0957801901007868e-06,1.832770857065806e-05,0.00010945770722328953,2.700175511295633e-05,1.7849401623432653e-05
6.109361706873362e-07,3.479078980150801e-06,4.308113361750253e-06,5.4283416100074015e-06,7.79169754943783e-07,3.3417788076591126e-06,1.860703194214197e-06,1.6999074869743239e-06,2.8316239132304844e-06,1301128.5144687449,351562.39410668326,1.3806220661656808e-05,9.612316329325645e-05,7.344017275966739e-05,1.2456922820068564e-05,1.3147451129876155e-06,1.629765828262683e-05,7.02895949999986e-05,1.94993459106644e-05,2.1388862404371273e-05
