L1,L2,L3,L4,L5,L6,L7,L8,L9,R1,R2,W1,W2,W3,W4,W5,W6,W7,W8,W9
7.640000000000006e-07,4.829999999999998e-06,4.16e-06,3.660000000000002e-06,5.290000000000004e-07,3.06e-06,2.340000000000001e-06,2.3300000000000014e-06,3.06e-06,2559018.000000001,261903.9999999999,9.999999999999997e-06,7.449999999999997e-05,6.369999999999995e-05,1.4599999999999989e-05,1.7500000000000008e-06,2.43e-05,7.929999999999999e-05,2.1000000000000002e-05,2.7899999999999977e-05
5.516027827125608e-07,5.312658019698686e-06,3.157846001070198e-06,4.155403712429726e-06,7.636327033864011e-07,4.544518600949166e-06,2.831514770809388e-06,3.0631158869298158e-06,2.935597519961452e-06,1623348.198121288,222023.65992869285,6.197690207584827e-06,6.245622934847826e-05,7.691942055110014e-05,1.7066136226075415e-05,2.494890672896437e-06,1.8828476017486845e-05,5.7117571671277376e-05,2.8857858128098926e-05,1.7416933225350123e-05
6.777549025517819e-07,6.787291370857917e-06,4.164387235007484e-06,4.291014313794566e-06,7.339361723021926e-07,1.7086604096364306e-06,1.8597071491805977e-06,1.5790260583629171e-06,1.6724908086220534e-06,2154202.5430410504,370699.11405994295,7.52716278752683e-06,4.5671317484874054e-05,9.184552247236462e-05,1.4502340461482443e-05,1.7006342868133288e-06,2.8864676174031992e-05,0.00010444482683307845,1.526505345145572e-05,1.9595644638572138e-05
5.399334346793222e-07,3.7900328034977884e-06,5.701209641926173e-06,5.221658371792579e-06,7.107405770723082e-07,1.6951240325641494e-06,2.965555431815613e-06,2.5382411362846224e-06,3.46669095482036e-06,1628764.0167303323,174334.2569638764,1.410097432962291e-05,5.963694229812119e-05,4.39948084884312e-05,1.0314939107309335e-05,8.865641889817548e-07,2.356289558399752e-05,0.00010361573244668569,2.3607958761513286e-05,3.0362693100289227e-05
7.06317068512833e-07,6.508873942116485e-06,5.93682503795438e-06,2.526876309576396e-06,6.292239199866623e-07,2.8943581605292703e-06,3.2247780545971606e-06,1.8537738657332488e-06,2.3568237763223645e-06,1335633.1138456073,359162.2810022577,6.660597798361539e-06,5.800057424059649e-05,4.754129719185664e-05,2.0761961833364616e-05,1.0178492795874453e-06,2.0330800206463e-05,9.360849799531866e-05,1.3976868276068753e-05,3.0066672282600767e-05
7.064380089793188e-07,2.478466593757788e-06,4.603468013985164e-06,3.0997157887834875e-06,3.763977274864533e-07,4.513959087905851e-06,3.1332183725890585e-06,2.2104926897527255e-06,2.513022069446185e-06,1315585.7392148075,321636.403947823,7.663235498266896e-06,7.537090146672641e-05,7.172741485532053e-05,1.8292427509602484e-05,1.1517558046509665e-06,1.4368993660943947e-05,0.00010103352494681167,1.1580616562210334e-05,2.5294623394502295e-05
8.493723112576212e-07,3.1113135721560216e-06,4.033071626511522e-06,2.174781999769001e-06,4.6732339594950367e-07,3.6810027559810153e-06,1.3643473967099601e-06,3.4134421718298725e-06,3.944370950542107e-06,2818351.842077106,222181.54264536442,6.428757978793305e-06,5.480694100605536e-05,4.8296472676426374e-05,1.3673419080658677e-05,1.4854482513904195e-06,3.564145805272649e-05,9.177755863592e-05,1.1789694451360556e-05,3.719856010566567e-05
9.671536023509612e-07,3.214910119602126e-06,6.162909948441008e-06,3.1514372115775435e-06,5.344776877924623e-07,2.5460673375791732e-06,1.730758628692606e-06,2.4953722552740297e-06,3.0498882579151415e-06,3831426.918992917,285795.48824219656,1.3119441915574244e-05,6.989358249915898e-05,5.0481005278479856e-05,1.9143753344984657e-05,1.5330560313333935e-06,2.9631417152911675e-05,0.00011700391544055836,2.1415096257492968e-05,3.713735039390685e-05
7.780713427349285e-07,7.070784455398159e-06,3.739610384235854e-06,1.9599630562428076e-06,7.729235303595539e-07,2.6315485772242e-06,1.6882696585006094e-06,1.8698672021259194e-06,2.1760914627363697e-06,2714899.531786794,333931.0388089769,6.922792957754753e-06,4.6640416058090704e-05,5.896352356689869e-05,1.3808569933384079e-05,1.4976877582761464e-06,1.5476160485397434e-05,7.044164676751885e-05,1.9932237037225716e-05,2.3550918405917376e-05
6.087555832042332e-07,7.052895034829908e-06,5.465127106761577e-06,3.82967155565935e-06,4.6103017350851616e-07,4.3496999318350854e-06,2.0208235245216075e-06,3.0888945757411577e-06,3.378191471754629e-06,2683709.2154329973,294577.6939676975,6.5474510954133755e-06,5.237588256869233e-05,6.823407692164802e-05,1.383072824830158e-05,1.2793075315527708e-06,3.3774545346263575e-05,9.966027470037993e-05,1.677864009063113e-05,2.4570889899322634e-05
4.0952195023226354e-07,3.4186201319317604e-06,2.8678944387974994e-06,4.90403700748253e-06,6.575161716181003e-07,2.2787092350184014e-06,2.541633342190485e-06,2.3174152327447806e-06,1.8089547738497175e-06,2195170.611273093,327563.5911652313,6.287675352661407e-06,5.512260068219929e-05,5.4554236942313405e-05,7.358718023152656e-06,2.228543656456932e-06,2.1750731464351268e-05,9.029626946435617e-05,2.1546719863327686e-05,3.569436436238817e-05
4.4368632933636435e-07,2.532400692670421e-06,5.286753002503336e-06,2.0171826593509315e-06,7.192849432167536e-07,2.7775183297520606e-06,1.310625037487258e-06,3.463548358469911e-06,3.842943323657483e-06,3139376.081659993,365032.0139321489,5.003828943674709e-06,6.499621789127815e-05,6.931831532928454e-05,1.1373074012285446e-05,2.154571999769426e-06,3.1252895290188595e-05,6.971046057463802e-05,1.7653938139247088e-05,1.5146127270057974e-05
9.461683862960132e-07,3.4030032890151634e-06,4.097313271951981e-06,2.5205239130027767e-06,3.232775865068533e-07,4.279627733947257e-06,2.2223999254779415e-06,1.4154506132299812e-06,4.570122264273958e-06,2855386.932271541,322296.77493221936,1.3455178161638104e-05,5.3541788844595414e-05,8.840919158654136e-05,8.397489298344979e-06,2.622402592709959e-06,2.9682176098952862e-05,5.738846453771e-05,1.669186096848449e-05,3.668027723298187e-05
7.191602462925081e-07,5.795244656231272e-06,2.2011041048785075e-06,3.1676486305585225e-06,5.17541354269009e-07,2.5405749509960873e-06,3.072819034311026e-06,2.5185401693858117e-06,2.1986032109007014e-06,2785491.25926726,261319.4353173714,6.611324533439404e-06,0.00010028689527258193,7.365065847510699e-05,7.996980305858542e-06,9.420983777800429e-07,2.8021887089338145e-05,6.885162246479521e-05,1.8113291612223417e-05,3.0300044523621926e-05
5.029487389324653e-07,6.180055448233209e-06,2.439946863753175e-06,2.7241045730659448e-06,7.141394371322971e-07,1.7831800213847624e-06,1.7883177964251179e-06,2.2666896012834775e-06,2.8324502406170583e-06,2827725.928299069,299523.9480193789,1.2392507348926596e-05,8.01154125469069e-05,6.196601428080744e-05,1.9908349465826197e-05,2.378421879667841e-06,3.078744712293275e-05,9.141940951790675e-05,2.748383528015958e-05,2.632378172936467e-05
1.0542718918377768e-06,2.525766836480763e-06,2.5436478594925757e-06,4.740020150890974e-06,5.367963845433598e-07,3.1417557503032873e-06,1.3183582978176822e-06,2.6847909313513433e-06,2.8269797845839836e-06,2187411.3800643757,264385.5650994911,1.0829108159234145e-05,8.446187755815494e-05,5.1313441343578384e-05,1.772903681855755e-05,1.8275336291982936e-06,3.187747520717689e-05,6.0060816945821874e-05,2.930759076295876e-05,3.175396300183505e-05
8.853577204184745e-07,4.340996905668571e-06,2.5944323496687592e-06,3.381862568888097e-06,2.672971668592068e-07,1.7691876799199106e-06,3.1117516627016243e-06,2.369072157038663e-06,3.944171381117488e-06,3170907.1118527236,269184.7629763525,1.2272954759517717e-05,0.0001075648069820828,9.226474201138766e-05,1.1014699234448668e-05,2.4646717895140947e-06,2.3595924812868857e-05,5.617479679964447e-05,1.911310171248657e-05,3.0241678150930103e-05
6.984755545779237e-07,2.4229316942185003e-06,6.094047616909674e-06,4.168292316340933e-06,6.87952026577052e-07,4.262531940727216e-06,1.3690648804955035e-06,1.2375330477648866e-06,2.6479190379392744e-06,2826699.7639826266,298954.1897867484,1.0999931667376854e-05,9.043994989313219e-05,8.135345441614862e-05,9.240424627355264e-06,9.954287150038982e-07,2.3926280774066985e-05,6.305868440033909e-05,1.935266804078499e-05,3.638749108789807e-05
6.082050686085073e-07,4.904732715503052e-06,4.708146779389022e-06,3.6358990899421397e-06,2.7528703919907194e-07,4.483382093863882e-06,3.0601991987128017e-06,2.433061381898614e-06,2.992500408919944e-06,2070836.110354516,389757.0897910161,1.4614674858461727e-05,5.700089378471027e-05,4.315732631429126e-05,1.2633182309357385e-05,1.7945365918856079e-06,1.4516485747041704e-05,0.00010023794898693466,2.9367397751621412e-05,3.2256576399212144e-05
8.623939623839258e-07,5.505210700712045e-06,5.477306442879905e-06,3.965609062015409e-06,5.674152652193257e-07,3.885993991287421e-06,1.5683851769931136e-06,2.014774716586256e-06,3.1887966517756477e-06,1908083.1466324823,332704.3415179499,8.797783894182177e-06,3.797326897081957e-05,4.0636482329832346e-05,2.0632976117810934e-05,1.0579803612737321e-06,2.116196522479132e-05,6.510876826365173e-05,2.2828629447158017e-05,1.9740431317395886e-05
